Datetime,PM2.5_Mean,Visibility,RH,Temperature,WindSpeed,BLH
2024-01-06 20:00:00,227.91310344827588,901.23264,93.45,9.0,1.542288,27.081554
2024-01-06 21:00:00,228.0341379310345,1207.008,93.45,9.0,0.0,30.433578
2024-01-06 22:00:00,227.02586206896552,1303.5686400000002,93.45,9.0,1.542288,27.331507
2024-01-06 23:00:00,211.75035714285715,1400.12928,93.45,9.0,1.542288,29.28079
2024-01-07 00:00:00,207.7932142857143,1400.12928,93.45,9.0,2.056384,30.58662
2024-01-07 01:00:00,189.37586206896555,1400.12928,93.45,9.0,1.542288,28.20201
2024-01-07 02:00:00,163.14724137931032,1400.12928,93.45,9.0,1.542288,32.65624
2024-01-07 03:00:00,147.62655172413793,1496.68992,87.37,10.0,1.542288,41.25188
2024-01-07 04:00:00,130.46310344827586,1496.68992,81.74,11.0,1.542288,62.924824
2024-01-07 05:00:00,125.39551724137932,1496.68992,76.34,11.0,1.542288,211.02785
2024-01-07 06:00:00,128.44827586206895,1496.68992,76.66,13.0,1.542288,475.41086
2024-01-07 07:00:00,132.53689655172414,1496.68992,71.83,14.0,2.056384,669.53766
2024-01-07 08:00:00,134.3896551724138,1496.68992,67.33,15.0,2.056384,799.6179
2024-01-07 09:00:00,141.08827586206897,1802.46528,59.01,16.0,1.542288,901.51526
2024-01-07 10:00:00,147.2975862068965,2092.1472000000003,59.01,16.0,2.056384,853.2302
2024-01-07 11:00:00,156.97379310344826,1899.02592,62.92,15.0,2.056384,775.8512
2024-01-07 12:00:00,164.82344827586206,2204.80128,71.64,13.0,2.056384,48.4306
2024-01-07 13:00:00,166.3248275862069,2204.80128,76.5,12.0,2.056384,22.542524
2024-01-07 14:00:00,174.29758620689657,2204.80128,81.74,11.0,2.056384,21.563932
2024-01-07 15:00:00,171.13724137931035,2092.1472000000003,87.47,11.0,1.542288,24.488195
2024-01-07 16:00:00,178.82793103448276,2092.1472000000003,87.47,11.0,1.542288,28.418869
2024-01-07 17:00:00,173.80172413793105,1899.02592,87.47,11.0,1.028192,28.575579
2024-01-07 18:00:00,186.8596551724138,1899.02592,87.47,11.0,0.0,24.389576
2024-01-07 19:00:00,202.9186206896552,1802.46528,87.37,10.0,0.0,21.006174
2024-01-07 20:00:00,206.18344827586205,1705.9046400000002,87.37,10.0,0.0,19.982395
2024-01-07 21:00:00,199.98241379310343,1705.9046400000002,87.28,9.0,0.0,21.23965
2024-01-07 22:00:00,199.52241379310345,1593.25056,100.0,8.0,0.0,23.906448
2024-01-07 23:00:00,187.5775862068965,1400.12928,93.4,8.0,0.0,25.924267
2024-01-08 00:00:00,177.95379310344828,1207.008,93.4,8.0,0.0,29.637695
2024-01-08 01:00:00,162.68379310344827,1094.35392,93.45,9.0,1.542288,33.87682
2024-01-08 02:00:00,147.1634482758621,804.672,87.37,10.0,1.028192,35.795784
2024-01-08 03:00:00,145.02310344827586,804.672,87.37,10.0,1.542288,51.61168
2024-01-08 04:00:00,144.8551724137931,804.672,87.37,10.0,1.028192,105.26525
2024-01-08 05:00:00,152.19285714285712,901.23264,87.47,11.0,1.028192,238.0069
2024-01-08 06:00:00,156.24655172413793,901.23264,87.47,11.0,1.028192,510.01962
2024-01-08 07:00:00,160.5441379310345,804.672,81.87,12.0,1.542288,636.0606
2024-01-08 08:00:00,169.7510344827586,804.672,81.99,13.0,1.028192,707.40704
2024-01-08 09:00:00,178.22827586206895,804.672,82.12,14.0,1.028192,731.8895
2024-01-08 10:00:00,207.48,997.79328,76.98,15.0,0.0,716.5092
2024-01-08 11:00:00,234.51517241379312,997.79328,76.98,15.0,1.542288,624.42706
2024-01-08 12:00:00,271.64,901.23264,82.12,14.0,2.57048,61.902035
2024-01-08 13:00:00,292.4306896551724,804.672,81.99,13.0,1.542288,36.54719
2024-01-08 14:00:00,290.30896551724135,595.45728,87.47,11.0,2.056384,28.741022
2024-01-08 15:00:00,305.0844827586207,595.45728,93.5,10.0,2.056384,24.62037
2024-01-08 16:00:00,316.58137931034486,595.45728,93.5,10.0,2.056384,23.59683
2024-01-08 17:00:00,318.0886206896552,354.05568,93.5,10.0,2.056384,25.086245
2024-01-08 18:00:00,315.76758620689657,305.77536000000003,100.0,10.0,1.542288,26.60562
2024-01-08 19:00:00,295.58206896551724,193.12128,100.0,7.0,0.514096,31.76387
2024-01-08 20:00:00,306.05482758620684,48.28032,100.0,10.0,1.542288,42.199482
2024-01-08 21:00:00,268.9237931034483,96.56064,93.5,10.0,2.056384,55.817947
2024-01-08 22:00:00,224.92896551724132,96.56064,93.5,10.0,2.056384,65.31328
2024-01-08 23:00:00,208.4382758620689,305.77536000000003,93.5,10.0,1.542288,76.48168
2024-01-09 00:00:00,187.0875862068966,305.77536000000003,93.5,10.0,1.542288,84.19318
2024-01-09 01:00:00,160.1448275862069,305.77536000000003,93.5,10.0,2.056384,90.59335
2024-01-09 02:00:00,144.57999999999998,305.77536000000003,93.5,10.0,2.056384,89.476715
2024-01-09 03:00:00,132.2755172413793,498.89664,100.0,10.0,1.542288,106.41416
2024-01-09 04:00:00,123.17379310344828,595.45728,100.0,10.0,1.542288,140.24893
2024-01-09 05:00:00,122.79103448275862,804.672,93.5,10.0,2.57048,232.48291
2024-01-09 06:00:00,128.8548275862069,997.79328,87.47,11.0,2.57048,404.09366
2024-01-09 07:00:00,141.26620689655172,997.79328,87.47,11.0,2.57048,607.76715
2024-01-09 08:00:00,151.88344827586204,1496.68992,87.56,12.0,3.598672,809.0875
2024-01-09 09:00:00,158.0841379310345,1496.68992,81.99,13.0,3.084576,904.7321
2024-01-09 10:00:00,159.67137931034483,1400.12928,81.99,13.0,2.57048,797.0143
2024-01-09 11:00:00,150.85333333333332,1400.12928,81.99,13.0,2.57048,690.53046
2024-01-09 12:00:00,145.422,1400.12928,87.56,12.0,3.598672,308.94208
2024-01-09 13:00:00,139.2858620689655,1496.68992,93.55,11.0,3.084576,176.26051
2024-01-09 14:00:00,128.56233333333333,1496.68992,93.55,11.0,3.598672,165.80115
2024-01-09 15:00:00,121.42233333333334,1802.46528,93.55,11.0,3.598672,166.07954
2024-01-09 16:00:00,118.99266666666666,1802.46528,87.47,11.0,3.598672,156.14055
2024-01-09 17:00:00,114.52133333333332,1802.46528,87.37,10.0,3.598672,134.45969
2024-01-09 18:00:00,117.97366666666667,2204.80128,81.61,10.0,3.084576,114.90848
2024-01-09 19:00:00,118.31466666666668,2204.80128,87.28,9.0,4.112768,107.87494
2024-01-09 20:00:00,115.25066666666666,2204.80128,87.28,9.0,4.112768,110.04569
2024-01-09 21:00:00,108.22433333333332,2204.80128,87.28,9.0,4.626863999999999,119.27772
2024-01-09 22:00:00,101.656,1899.02592,87.28,9.0,3.084576,115.08079
2024-01-09 23:00:00,103.65066666666668,1496.68992,93.4,8.0,3.598672,139.62445
2024-01-10 00:00:00,107.36933333333332,1400.12928,93.4,8.0,3.084576,162.6341
2024-01-10 01:00:00,108.93733333333331,1094.35392,100.0,8.0,3.084576,165.00577
2024-01-10 02:00:00,109.03166666666668,997.79328,100.0,8.0,2.57048,164.7875
2024-01-10 03:00:00,114.06733333333334,804.672,100.0,8.0,3.084576,195.90543
2024-01-10 04:00:00,111.13733333333334,901.23264,93.4,8.0,3.084576,251.11934
2024-01-10 05:00:00,102.79166666666669,1094.35392,87.28,9.0,3.084576,314.22784
2024-01-10 06:00:00,101.83866666666668,1303.5686400000002,87.37,10.0,4.112768,377.8804
2024-01-10 07:00:00,105.65833333333332,1496.68992,93.55,11.0,4.112768,437.7682
2024-01-10 08:00:00,109.479,1496.68992,93.55,11.0,4.112768,498.2906
2024-01-10 09:00:00,118.19933333333331,1496.68992,71.64,13.0,3.598672,548.9582
2024-01-10 10:00:00,133.21166666666667,1496.68992,66.91,13.0,3.598672,547.4181
2024-01-10 11:00:00,154.72566666666668,1496.68992,66.91,13.0,3.598672,518.9576
2024-01-10 12:00:00,166.8273333333333,1496.68992,71.45,12.0,3.598672,231.6475
2024-01-10 13:00:00,168.58933333333331,1496.68992,87.37,10.0,3.084576,108.35575
